YarareInitCube__FP3cEmffffffsUs 0x0019e418
dispTimeUp__6MercID 0x00127290
kill__6MercID 0x001271e8
init__10MercResultP11MercSysWork 0x001272e8
move__10MercResultP11MercSysWork 0x00127448
quit__10MercResult 0x00127bb8
IdSetTexNo__FP8IDSystemi8ID_CLASSi 0x00126fb8
set__6MercID 0x001271b0
merchant_info_A 0x002f0318
level_first 0x002f05d8
level_styer 0x002f05f8
level_r10e_day 0x002f0608
level_1st_night 0x002f0618
level_r112 0x002f0638
level_r202 0x002f06b0
level_r204 0x002f06c0
level_r20b 0x002f0700
level_r211 0x002f0728
level_r214 0x002f0748
level_r229 0x002f0790
level_r220 0x002f07a0
level_r225 0x002f07b8
level_r227 0x002f0810
level_r22a 0x002f0820
level_r301 0x002f0880
level_r305 0x002f08b0
level_r31a 0x002f08d0
level_r31d 0x002f08e8
level_r329 0x002f08f8
level_ext_normal 0x002f0900
level_ext_sw500 0x002f0910
stock_r104 0x002f0920
stock_r102 0x002f0970
stock_r10e_day 0x002f0988
stock_r10d 0x002f0998
stock_r10e_night 0x002f09a8
stock_r112 0x002f09b8
stock_r10f 0x002f09f8
stock_1st_mission 0x002f0a08
stock_2st_general 0x002f0ab8
stock_r20f 0x002f0ac8
stock_r229 0x002f0ae0
stock_3st_general 0x002f0af8
stock_r301 0x002f0b08
stock_r305 0x002f0bb8
stock_5st_general 0x002f0bd0
stock_r500 0x002f0be0
stock_r501 0x002f0bf0
stock_r506 0x002f0c38
stock_r50e 0x002f0c50
stock_r512 0x002f0c78
stock_r518 0x002f0c90
stock_ext_general 0x002f0cb0
stock_ext_normal 0x002f0cc0
stock_ext_sw500 0x002f0cd8
stock_ext_tompson 0x002f0ce8
stock_ext_laser 0x002f0cf8
g_ada_price_tbl 0x002f1020
g_item_price_tbl_num 0x002f12f0
g_ada_price_tbl_num 0x002f12f4
MerchantGameInit__Fv 0x00127fa8
stockDataInit__FP13MERCHANT_DATA 0x00128e00
levelDataInit__FP13MERCHANT_DATA 0x001290a8
MerchantRoomInit__Fv 0x00128248
MerchantDataSave__FP13MERCHANT_DATA 0x00128c50
MerchantDataLoad__FP13MERCHANT_DATA 0x00128d28
load__8MerchantP13MERCHANT_DATA 0x00129468
stockPtr__8MerchantUs 0x001295d0
stockAdd__8MerchantUsi 0x00129608
stockSub__8MerchantUsi 0x001296c0
levelPtr__8MerchantUs 0x001299e8
stockSpecial__8MerchantUs 0x00129ba8
specialTuned__8MerchantP5cItem 0x00129d58
makeSellingList__8Merchant 0x0012a198
makeExerciseList__8Merchant 0x0012a350
makeLevelUpList__8Merchant 0x0012ae00
sellingItemId__8MerchantUs 0x0012a2b0
exerciseItemId__8MerchantUs 0x0012a5a8
levelupItemId__8MerchantUs 0x0012b058
levelupItemPrice__8MerchantUs 0x0012b098
levelupPrice__8MerchantUsii 0x0012b0d8
_GLOBAL_$I$D__ps2_Bio4_Prog_merchant.cppXqcaaa 0x0012b238
_GLOBAL_$D$D__ps2_Bio4_Prog_merchant.cppKHeaaa 0x0012b258
__7RomFontP12OSFontHeader 0x0012b298
setup__7RomFontPv 0x0012b3e0
draw__7RomFontiiii 0x0012b4d0
getSize__11MessageFontsRScT2 0x0012b610
create__11MessageFontssPvPSc 0x0012b668
getAddr__11MessageDataii 0x0012b728
getSpaceWidth__11MessageData 0x0012b7d8
MesFont 0x003d0ec8
loadFont__14MessageControlssiUc 0x0012b9c8
currentStageFont 0x003d6f88
init__14MessageControl 0x0012bab8
loadCommonFont__14MessageControl 0x0012bd40
loadSystemFont__14MessageControl 0x0012bd98
MsgQueue 0x003d0f88
gameInit__14MessageControl 0x0012bbe8
roomInit__14MessageControl 0x0012bc98
checkState__14MessageControlQ214MessageControl10STATE_FLAG 0x0012c058
loadStageFont__14MessageControl 0x0012bf50
stageInit__14MessageControl 0x0012bdf8
unsetState__14MessageControlQ214MessageControl10STATE_FLAG 0x0012c040
loadEventFont__14MessageControli 0x0012bfc8
setState__14MessageControlQ214MessageControl10STATE_FLAG 0x0012c030
move__7Message 0x0012c6d0
Move1__14MessageControl 0x0012c0f8
Move2__14MessageControl 0x0012c170
Trans__14MessageControl 0x0012c208
trans__7Message 0x0012d648
init__7MessageUiiiUiUcP11MessageFont 0x0012c500
WaitEnd__7Message 0x0012d890
CommandExec__7Message 0x0012d6f8
QueSet__7MessageUsP11MessageFont 0x0012cd10
WidthCk__7Message 0x0012c8b0
CommandArg__7Message 0x0012d870
putSelCursol__7Message 0x0012cf20
putNextCursol__7Messageb 0x0012cf70
code00__7Message 0x0012d8a0
code01__7Message 0x0012d920
code02__7Message 0x0012d9f8
code03__7Message 0x0012db28
code04__7Message 0x0012db60
code05__7Message 0x0012db98
code06__7Message 0x0012dbd0
code07__7Message 0x0012dc00
code08__7Message 0x0012dc60
code09__7Message 0x0012e068
code0a__7Message 0x0012e0e0
code0b__7Message 0x0012e398
code0c__7Message 0x0012e3b8
code0d__7Message 0x0012e3d8
code0e__7Message 0x0012e3f8
code0f__7Message 0x0012e428
code10__7Message 0x0012e4c0
code11__7Message 0x0012e510
code12__7Message 0x0012e5b8
_vt$14MessageControl 0x003aa9d8
_vt$7Message 0x003aa9f0
__tf14MessageControl 0x0012e718
_$_14MessageControl 0x0012e758
__tf7Message 0x0012e6a8
_$_7Message 0x0012e6e8
__ti7Message 0x0047ca88
__ti14MessageControl 0x0047ca90
_GLOBAL_$I$D__ps2_Bio4_Prog_mes.cppQqdaaa 0x0012e7f0
_GLOBAL_$D$D__ps2_Bio4_Prog_mes.cppwHgaaa 0x0012e810
C_MTXOrtho 0x00252ff0
GXSetProjection 0x002524f8
GXLoadPosMtxImm 0x00252610
GXSetCurrentMtx 0x00252618
GXSetZMode 0x00252470
GXSetNumChans 0x00251c60
GXSetNumTevStages 0x002524d8
GXSetTevOp 0x002524d0
GXSetTevOrder 0x002524c8
GXSetBlendMode 0x00252478
GXClearVtxDesc 0x00251c20
GXSetVtxDesc 0x00251c28
GXSetVtxAttrFmt 0x00251c30
GXInitTexObj 0x002524e0
GXInitTexObjLOD 0x002524f0
GXLoadTexObj 0x002524e8
PSMTXScale 0x00252778
GXLoadTexMtxImm 0x00252608
GXSetNumTexGens 0x00251c18
GXSetTexCoordGen 0x00251c48
GXBegin 0x00251c38
EmGXPosition3s16 0x00251bd0
EmGXTexCoord2s16 0x00251bd8
GXEnd 0x00251c40
Unite_size__FUs 0x0024f378
DvdRead__FUsUiUiUiUiUiPcs 0x001b3330
FileExistCheck__4cDvdiPUi 0x001b5d18
SceSys 0x00456750
DivBuild__6PS2TEXRP9TEXHeaderP3OTWUcUi 0x00250df8
_6PS2TEX$tex_nose 0x0047ca98
setFog__9cLightMgr 0x00224660
MovieBrowserEventTbl 0x002f1398
MovieBrowserEtcTbl 0x002f1f18
MovieBrowser_Evt_R10bS10_Func__FP5EventUi 0x0012ecf0
MovieBrowser_Evt_R317S00_Func__FP5EventUi 0x0012ec20
MovieBrowser_Evt_R317S03_Func__FP5EventUi 0x0012ec88
MovieBrowser_Evt_R209S00_Func__FP5EventUi 0x0012ed58
MovieBrowser_Evt_R320S00_Func__FP5EventUi 0x0012ed98
MovieBrowser_Evt_R320S01_Func__FP5EventUi 0x0012ee40
SndBgmTblSet2__FUsUc 0x001719c8
create__t8cManager1Z4cObjUi 0x00132d80
move__10cObjLadder 0x0012f190
breakWindow__10cObjLadder 0x00132b48
setDown__10cObjLadderUiUi 0x0012f788
setTransOld__10cObjLadder 0x0012fac0
getTransOld__10cObjLadder 0x0012faf8
SubLadderClimbCk__FP3cEm 0x00130ab0
SubLadderClimbCk2__FP3cEm 0x00130cb0
LadderNearCk__FP6tagVec 0x00132840
LadderEventTrans__Fb 0x00132a70
_vt$10cObjLadder 0x003ab5e8
__tf10cObjLadder 0x00132ec0
_$_10cObjLadder 0x00132e70
__ti10cObjLadder 0x0047caa0
__tf4cObj 0x00132f28
__ti4cObj 0x0047cab0
set__8cMotBaseP6cModelR6tagVecT2Uc 0x001ad878
ChkStatus__9cEmWindow 0x001e8c30
move__8cObjBell 0x001331a0
_vt$8cObjBell 0x003ab758
__tf8cObjBell 0x00133828
_$_8cObjBell 0x001337d8
__ti8cObjBell 0x0047cac0
move__11cObjGatling 0x00133c30
_vt$11cObjGatling 0x003ab810
__tf11cObjGatling 0x00134c60
_$_11cObjGatling 0x00134c10
__ti11cObjGatling 0x0047cad0
EspDrawLaserLine__FG6tagVecT0f 0x001eb8b8
clearDmgWeapon__6cEmHit 0x001d5950
createBack__t8cManager1Z4cObjUi 0x00138148
move__6cObj16 0x00134fd0
_vt$6cObj16 0x003abba8
__tf6cObj16 0x001382a8
_$_6cObj16 0x00138258
__ti6cObj16 0x0047cae0
__8cItemObj 0x00138310
_vt$8cItemObj 0x003abc60
move__8cItemObj 0x00138378
setItemObj__FUiUiRC6tagVecT2 0x001383a0
__tf8cItemObj 0x00138500
_$_8cItemObj 0x001384b0
__ti8cItemObj 0x0047caf0
beginEvent__9cObjSpearUi 0x00138748
move__9cObjSpear 0x00138778
setFall__9cObjSpearUcP6tagVec 0x00139e78
_vt$9cObjSpear 0x003abde0
__tf9cObjSpear 0x0013a288
_$_9cObjSpear 0x0013a238
__ti9cObjSpear 0x0047cb00
GetWepTargetList2__FP6tagVecT0P12tagTARGET_WKUiT0T0RUiUsUi 0x001c0e30
move__6cObj1c 0x0013a4c8
_vt$6cObj1c 0x003abea0
__tf6cObj1c 0x0013ae18
_$_6cObj1c 0x0013adc8
__ti6cObj1c 0x0047cb10
move__9cObjChain 0x0013afe8
chainMove__9cObjChain 0x0013bad0
_vt$9cObjChain 0x003abf40
__tf9cObjChain 0x0013bb78
_$_9cObjChain 0x0013bb28
__ti9cObjChain 0x0047cb20
C_QUATMtx 0x00253250
C_QUATSlerp 0x002534e8
PSMTXQuat 0x00252cb0
move__12cObjObaModel 0x0013bd78
_vt$12cObjObaModel 0x003abff0
__tf12cObjObaModel 0x0013bf18
_$_12cObjObaModel 0x0013bec8
__ti12cObjObaModel 0x0047cb30
move__6cObj26 0x0013bf80
_vt$6cObj26 0x003ac0b0
__tf6cObj26 0x0013c2f0
_$_6cObj26 0x0013c2a0
__ti6cObj26 0x0047cb40
move__6cObj41 0x0013c7d8
_vt$6cObj41 0x003ac258
__tf6cObj41 0x0013df70
_$_6cObj41 0x0013df20
__ti6cObj41 0x0047cb50
move__11cObjBattery 0x0013e428
_vt$11cObjBattery 0x003ac328
__tf11cObjBattery 0x0013fa38
_$_11cObjBattery 0x0013f9e8
__ti11cObjBattery 0x0047cb60
VibSet__FUiUiUiUi 0x0023f230
Bull_parts 0x002f2900
move__8cObjBull 0x0013fcd0
Bull_MatOld 0x003d6fa0
Bull_vec 0x003d6fe0
Bull_dir 0x003d6ff0
ckBullRideAdjust__8cObjBullP6tagVecT1 0x00141ad0
_vt$8cObjBull 0x003ac488
__tf8cObjBull 0x00142d00
_$_8cObjBull 0x00142cb0
__ti8cObjBull 0x0047cb70
SetSubBulldozer__FPFP8cSubChar_vT0 0x0024b308
R0Init__7cObjGonP7cObjGon 0x001431a0
R0Move__7cObjGonP7cObjGon 0x00143230
move__7cObjGon 0x00143168
SatMove__7cObjGonP7cObjGonP6tagVec 0x001432d8
SatMoveSub__7cObjGonP7cObjGonP6cModelP6tagVecT3 0x00143520
_vt$7cObjGon 0x003ac570
__tf7cObjGon 0x00143888
_$_7cObjGon 0x00143838
__ti7cObjGon 0x0047cb80
MotionPause__FP6cModel 0x0022f628
move__11cObjGondola 0x00143b28
_vt$11cObjGondola 0x003ac638
__tf11cObjGondola 0x00144d78
_$_11cObjGondola 0x00144d28
__ti11cObjGondola 0x0047cb90
move__11cObjMissile 0x00145050
_vt$11cObjMissile 0x003ac6e0
__tf11cObjMissile 0x00145f30
_$_11cObjMissile 0x00145ee0
__ti11cObjMissile 0x0047cba0
move__10cObjPillar 0x00146198
_vt$10cObjPillar 0x003ac790
__tf10cObjPillar 0x00147e28
_$_10cObjPillar 0x00147dd8
__ti10cObjPillar 0x0047cbb0
R0Init__8cObjRoboP8cObjRobo 0x00148150
R0WaitGondola__8cObjRoboP8cObjRobo 0x00148628
R0WalkPassage__8cObjRoboP8cObjRobo 0x00148aa0
R0WaitDoor__8cObjRoboP8cObjRobo 0x00148bc0
R0WalkBridge__8cObjRoboP8cObjRobo 0x00148df8
R0WaitBreak__8cObjRoboP8cObjRobo 0x00149380
R0WaitDie__8cObjRoboP8cObjRobo 0x00149408
R0Event__8cObjRoboP8cObjRobo 0x00149490
move__8cObjRobo 0x00148080
TaskSwitchBack__8cObjRoboP8cObjRobo 0x00149938
TaskSwitchFront__8cObjRoboP8cObjRobo 0x001496b0
SatMove__8cObjRoboP8cObjRoboP6tagVecUi 0x00149c98
WalkSequence__8cObjRoboP8cObjRobob 0x001494c0
WalkHitCk__8cObjRoboP8cObjRobo 0x00149bc0
SatMoveSub__8cObjRoboP6cModelP6tagVecT2 0x00149ec0
_vt$8cObjRobo 0x003aca38
__tf8cObjRobo 0x0014a0d8
_$_8cObjRobo 0x0014a088
__ti8cObjRobo 0x0047cbc0
SceAtCreateFieldAt__FP6cModelP6tagVecfUcUcUcUcffUc8FIELD_IDPP22SCE_AT_DATA_FIELD_INFO 0x0026c678
init__10cObjRocket 0x0014a140
move__10cObjRocket 0x0014a1f8
fire__10cObjRocket 0x0014a818
beginEvent__10cObjRocketUi 0x0014a8b8
__12cObjLauncher 0x0014a8e8
_vt$12cObjLauncher 0x003acaf0
_$_12cObjLauncher 0x0014a928
destroyNow__t8cManager1Z4cObjP4cObj 0x0014b708
init__12cObjLauncherPC6cModel 0x0014a998
loadRocket__12cObjLauncher 0x0014ab18
moveFire__12cObjLauncher 0x0014aba0
ckBoss__12cObjLauncher 0x0014ac38
launch__12cObjLauncher 0x0014ad70
moveDrop__12cObjLauncher 0x0014ae90
keyKamae__12cObjLauncher 0x0014b248
interrupt__12cObjLauncher 0x0014b290
setMotion__12cObjLauncherP7cPlayer 0x0014b308
setHand__12cObjLauncher 0x0014b5f8
__tf12cObjLauncher 0x0014b810
setNoSuspend__12cObjLauncheri 0x0014b868
_vt$10cObjRocket 0x003acbb8
__tf10cObjRocket 0x0014b7b0
_$_10cObjRocket 0x0014b760
__ti10cObjRocket 0x0047cbd0
__ti12cObjLauncher 0x0047cbe0
getMarkerPos__7cObjWepR6tagVecT1 0x00150c30
parentRelease__7cObjWep 0x00150540
moveNormal__7cSubWep 0x0014b968
moveWater__7cSubWep 0x0014bb88
move__7cSubWep 0x0014b8c0
scrAdjust__7cSubWep 0x0014bd10
addSpeed__7cSubWep 0x0014c270
dmgSet__7cSubWepUi 0x0014c1a8
getEffectType__7cSubWep 0x0014ca88
bounce__7cSubWepP6tagVec 0x0014c828
__7cSubWep 0x0014cb88
_vt$7cSubWep 0x003ace40
beginEvent__7cSubWepUi 0x0014d128
__11cObjGrenade 0x0014d150
_vt$11cObjGrenade 0x003acdf0
explode__11cObjGrenade 0x0014d188
waterExplode__11cObjGrenade 0x0014d3f8
__11cObjGreFire 0x0014d4c8
_vt$11cObjGreFire 0x003acda0
explode__11cObjGreFire 0x0014d508
waterExplode__11cObjGreFire 0x0014d7b0
__12cObjGreLight 0x0014d7e0
_vt$12cObjGreLight 0x003acd50
explode__12cObjGreLight 0x0014d820
waterExplode__12cObjGreLight 0x0014da30
__7cObjEgg 0x0014da60
_vt$7cObjEgg 0x003acd00
explode__7cObjEgg 0x0014daa0
waterExplode__7cObjEgg 0x0014dc80
__tf7cObjEgg 0x0014e010
_$_7cObjEgg 0x0014dfc0
__tf12cObjGreLight 0x0014df38
_$_12cObjGreLight 0x0014dee8
__tf11cObjGreFire 0x0014de60
_$_11cObjGreFire 0x0014de10
__tf11cObjGrenade 0x0014dd88
_$_11cObjGrenade 0x0014dd38
__tf7cSubWep 0x0014dce0
_$_7cSubWep 0x0014dc90
__ti7cSubWep 0x0047cbf0
__ti11cObjGrenade 0x0047cc00
__ti11cObjGreFire 0x0047cc10
__ti12cObjGreLight 0x0047cc20
__ti7cObjEgg 0x0047cc30
VehicleAdjust__FP6tagVec 0x001c6e40
EspSetWaterBomb__FR6tagVec 0x001fb8d8
Trolley_parts_tbl 0x002f2a30
move__11cObjTrolley 0x0014e2c8
Trolley_MatOld 0x003d7280
Trolley_vec 0x003d7340
Trolley_dir 0x003d7370
ckTrolleyRide__11cObjTrolleyP6tagVecPUcT1 0x0014fb68
ckTrolleyRideAdjust__11cObjTrolleyP6tagVecT1 0x0014fc20
_vt$11cObjTrolley 0x003acf80
__tf11cObjTrolley 0x001500b8
_$_11cObjTrolley 0x00150068
__ti11cObjTrolley 0x0047cc40
_vt$7cObjWep 0x003ad370
_$_7cObjWep 0x00151218
setMotion__7cObjWepP7cPlayer 0x00151340
setAbility__7cObjWepffff 0x00151358
GXSetCullMode 0x00251a80
GXSetChanCtrl 0x00251e20
EmGXPosition3f32 0x00251bc0
EmGXColor4u8 0x00251bc8
move__10cObjYagura 0x001515a0
_vt$10cObjYagura 0x003ad4a0
__tf10cObjYagura 0x001516c8
_$_10cObjYagura 0x00151678
__ti10cObjYagura 0x0047cc50
OptionOpenCheck__Fv 0x00151900
init__12OptionScreenUi 0x00151958
move__12OptionScreen 0x00151b38
quit__12OptionScreen 0x00151c20
init__10ChapterEndPUi10CHAPTER_NO 0x001551f0
move__10ChapterEnd 0x00155280
quit__10ChapterEnd 0x00155910
skip__10ChapterEndUi 0x00155940
OptScrn 0x003d73b0
save__9CountDownP15COUNT_DOWN_SAVE 0x001b0800
load__9CountDownP15COUNT_DOWN_SAVE 0x001b08a0
GameContinue__Fb 0x00219030
GameLoad__Fv 0x00218f60
__9cPlAshley 0x00155ce8
_vt$9cPlAshley 0x003ad5f0
setModel__9cPlAshley 0x00155e40
move__9cPlAshley 0x00155e08
moveBust__9cPlAshley 0x001569b0
moveMatCalcBefore__9cPlAshley 0x00155e38
setRightHand__9cPlAshleyUi 0x00156588
setLeftHand__9cPlAshleyUi 0x00156798
setFace__9cPlAshleyQ27cPlayer9FACE_TYPE 0x001569a8
__tf9cPlAshley 0x00156c08
_$_9cPlAshley 0x00156bb8
initCloth__9cPlAshley 0x00156c60
moveCloth__9cPlAshley 0x00156c98
__ti9cPlAshley 0x0047cc60
ReleaseWepData__Fv 0x002631a0
setMotion__7cPlayer 0x00249528
setHead__7cPlayerUi 0x00249530
setHead__7cPlayerUiUi 0x00249538
Pl_R0_Damage__FP7cPlayer 0x00156cd8
Pl_R0_Die__FP7cPlayer 0x00157d28
beginDamage__7cPlayer 0x00247a90
Pl_R0_Event__FP7cPlayer 0x00158030
setFootwork__7cPlayer 0x00247450
PlKnifeMove__FP7cPlayer 0x00158348
__7cPlLeon 0x00159980
_vt$7cPlLeon 0x003ad7a8
setModel__7cPlLeon 0x00159bb0
setMotion__7cPlLeon 0x00159a38
move__7cPlLeon 0x00159b90
setWound__7cPlLeon 0x00159e58
setRightHand__7cPlLeonUi 0x00159eb0
setLeftHand__7cPlLeonUi 0x00159f98
setFace__7cPlLeonQ27cPlayer9FACE_TYPE 0x0015a118
setHead__7cPlLeonUi 0x0015a1d0
setHead__7cPlLeonUiUi 0x0015a280
checkXbutton__7cPlLeon 0x0015a328
construct2__7cPlLeon 0x0015a460
__tf7cPlLeon 0x0015a5e0
_$_7cPlLeon 0x0015a590
initCloth__7cPlLeon 0x0015a638
moveCloth__7cPlLeon 0x0015a680
__ti7cPlLeon 0x0047cc70
SubCharCheckCtrl__Fv 0x0024b938
_8cSubChar$atckPos 0x003ad8c0
_8cSubChar$atckPos2 0x003ad8d0
mot_ck__8cSubChar 0x0015a6d8
_vt$8cSubChar 0x003ae3c0
neckInit__8cSubChar 0x00161058
moveCore__8cSubChar 0x0015b0a0
moveDamage__8cSubChar 0x00160488
moveDie__8cSubChar 0x001609d8
moveBull__8cSubChar 0x00160b30
moveEvent__8cSubChar 0x00160b50
moveDijection__8cSubChar 0x00160ee8
dmgCheck__8cSubChar 0x00164af8
damageCheck__8cSubChar 0x00163c20
backCheckMove__8cSubChar 0x00162298
neckCtrl__8cSubChar 0x00161070
moveFace__8cSubChar 0x001645e8
shadowCtrl__8cSubChar 0x00164a38
seqSeCtrl__8cSubChar 0x00162050
moveBust__8cSubChar 0x001643e8
moveFootwork__8cSubChar 0x0015b1c0
moveMove__8cSubChar 0x0015bb90
moveBehind__8cSubChar 0x0015c920
moveKagamu__8cSubChar 0x0015ce20
movePants__8cSubChar 0x0015d2a8
moveDown__8cSubChar 0x0015d4f8
moveFance__8cSubChar 0x0015d8a8
moveFall__8cSubChar 0x0015dbe0
moveAction__8cSubChar 0x0015e0a0
moveLadder__8cSubChar 0x0015e3a8
moveBack__8cSubChar 0x0015e860
moveAux__8cSubChar 0x0015ea28
moveHide__8cSubChar 0x0015ec90
moveStoop__8cSubChar 0x0015f4b8
moveFallWait__8cSubChar 0x0015f630
moveLadderWait__8cSubChar 0x0015fe40
moveWindowWait__8cSubChar 0x0015ffb8
analyze__8cSubChar 0x00162748
backCheckSet__8cSubCharPv 0x00162218
neckSet__8cSubCharRC6tagVec 0x001611d0
checkBackEm__8cSubChar 0x00162508
backCheckCtrlFootwork__8cSubChar 0x00162380
plDownCheck__8cSubChar 0x001613b8
checkAnotherRoute__8cSubChar 0x00163778
readyCheck__8cSubChar 0x00161858
actCheck__8cSubChar 0x00161200
ckPlRun__8cSubChar 0x00162040
backCheckCtrlMove__8cSubChar 0x00162438
movePos__8cSubCharR6tagVecf 0x00160fd8
readyOkCheck__8cSubChar 0x0015c878
inSat__8cSubChar 0x00164f58
getScrActionPoint__8cSubCharR6tagVecT1Ui 0x0015d6a0
landCheck__8cSubChar 0x0015da80
getJumpAdjY__8cSubChar 0x0015e5a0
jumpAdjust__8cSubChar 0x0015e688
checkArriveHide__8cSubCharR6tagVec 0x0015ea48
getAdjustX__8cSubCharUi 0x001601f8
checkSatAttr__8cSubCharf 0x00160160
beginDamage__8cSubChar 0x00164d80
endDamage__8cSubChar 0x00164da0
fanceCheck__8cSubChar 0x001613c8
windowCheck__8cSubChar 0x001615f0
doorCheck__8cSubChar 0x00161808
actionCheck__8cSubChar 0x001619a0
ladder2Check__8cSubChar 0x00161c90
fallLadderCheck__8cSubChar 0x00161798
cautionCheck__8cSubChar 0x001612e0
getCliffHeight__8cSubCharf 0x00161d80
pantsCheck__8cSubChar 0x00161e58
anaSatInfo__8cSubChar 0x00163020
moveAnotherRoute__8cSubChar 0x00163a60
frontCheck__8cSubChar 0x00162f10
interrupt__8cSubChar 0x00164dd0
control__8cSubCharQ28cSubChar4MODE 0x001631c0
setDamage__8cSubCharUcUiUiUcf 0x00164038
registPlAction__8cSubCharRC6tagVecfUc 0x00164220
SubCharHideCheck__Fv 0x00164ef0
ignorePants__8cSubChari 0x00165390
_GLOBAL_$I$D__ps2_Bio4_Prog_pl_npc.cppJScaaa 0x00165478
__8cMotBase 0x001ad7d0
adjust__8cMotBase 0x001ad8c0
move__8cMotBase 0x001ad920
PlGetWeaponNo__Fv 0x0024c838
getAngle__6cPlWep 0x0024d7a8
ChkBreakDir__9cEmWindowP6tagVec 0x001e8be0
DoorOpenCk__FP3cEm 0x001d4758
SubOpenDoorSet__FP7cEmDoor 0x001d49f8
SceAtCheckLadder__FP3cEmR6tagVecRfRSc 0x0026b230
catchCheck__7cPlPush 0x00165498
pushTargetInit__7cPlPushUc 0x00165798
pushTarget__7cPlPush 0x00165800
scrHitCheck__7cPlPush 0x00165ce8
objHitCheck__7cPlPush 0x00166108
stopTarget__7cPlPush 0x00165b40
getWHY__7cPlPushRfN21 0x00165b50
emSandCheck__7cPlPushfffR6tagVec 0x00166020
scrHitCheckSub__7cPlPushfffR6tagVecf 0x00165dc0
objHitCheckSub__7cPlPushfffR6tagVecf 0x001661f0
plAdjust__7cPlPush 0x001663f0
AddSpeed__FP3cEmRC6tagVec 0x00277a40
At_em_rect_rect_ck__FP6cModelT0 0x0019e9b0
adjustRange__7cEmRackUc 0x001db9a8
pl00_mirror 0x002f2c60
Pl_func_tbl 0x002f2d68
Pl_func_move_tbl 0x002f2d88
PlayerInit__Fv 0x001666a0
PlayerLifeReset__Fv 0x001666e0
PlFanceFlag 0x003d7580
PlFancePos 0x003d7570
_GLOBAL_$I$D__ps2_Bio4_Prog_player.cpp8Tcaaa 0x0016a9c0
_vt$7cPlayer 0x003c00c8
__6cPlWep 0x0024ca58
__7cPlBodyP6cModel 0x00245818
__8cPlWaist 0x002491c0
__7cPlNeckP6cModel 0x00248ac0
makeSpaeData__7cPlBody 0x00245940
dontFireCheck__7cPlayer 0x00248898
move__8cDmgInfo 0x001bb5f8
keyConfig__7cPlayer 0x00247940
dmgCheck__7cPlayer 0x00246f10
moveBinocular__7cPlayer 0x002487e0
subCharLiveCheck__7cPlayer 0x00249560
shadowCtrl__7cPlayer 0x00248960
move__7cPlNeck 0x00248ba8
waistSet__7cPlBodyf 0x00245870
move__7cPlBody 0x00245850
move__6cPlWep 0x0024d868
seqSeCtrl__7cPlayer 0x002474e0
updateOldPos__6cModel 0x0022d7f8
visibleCtrl__7cPlayer 0x00247268
PlWaterProc__FP7cPlayer 0x0024c1e8
actionSelect__7cPlayer 0x002469c8
fptoui 0x001758f8
_7cPlayer$SPEED_RUN_TURN 0x003bf330
EmScenario__FP3cEm 0x001c25d0
DVDGetDataSize__FPCc 0x0016c7c8
DVDGetDataSize__Fi 0x0016c798
afsfile 0x002f2df8
last_fno 0x002f2e08
cancel_param 0x002f2e10
DVDFastOpen 0x0016b8f8
DVDOpenADXFileFromNo__Fii 0x0016c640
DVDConvertPathToEntrynum 0x0016b970
DVDNameToIDPlusNo__FPCc 0x0016c880
DVDReadAsyncPrio 0x0016b9a8
dvdcb 0x003d7d80
cur_adxf 0x003d7d7c
DVDReadAsyncCallBack__Fv 0x0016bc50
DVDReadExec__Fv 0x0016bdc0
DVDClose 0x0016bee0
DVDGetDriveStatus 0x0016bf10
DVDCancelAsync 0x0016bf30
DVDLoadPartition__Fv 0x0016bfc0
afsfilelist 0x003d7d60
afssizelist 0x003d7d70
DVDGetSndNo__Fii 0x0016c210
DVDNameToIndex__FiPCc 0x0016c220
DVDLoadModules__Fv 0x0016c388
DVDIndexToName__Fii 0x0016c678
DVDIndexToName__Fi 0x0016c700
DVDGetSize__Fii 0x0016c810
DVDGetSize__Fi 0x0016c848
DVDDispSerial__Fv 0x0016c870
ADXM_ExecMain 0x0017cb98
ADXF_GetFsizeSct 0x0017ba48
ADXF_ReadNw 0x0017b500
ADXF_Seek 0x0017b8d8
ADXF_GetStat 0x0017bb40
CheckMainThread__Fv 0x00255d38
FlushCache 0x0029cea0
ADXF_Close 0x0017b0f0
TaskStatus__FUi 0x002562b8
ADXF_StopNw 0x0017b688
ADXF_LoadPartitionNw 0x0017a430
ADXF_GetPtStat 0x0017a810
ADXF_OpenAfs 0x0017af98
sceOpen 0x002a0460
sceLseek 0x002a0868
memalign 0x002b09b0
sceRead 0x002a0aa8
sceClose 0x002a06f0
sceSifAllocIopHeap 0x002a13c0
sceSifSetDma 0x0029cfe0
sceSifLoadModuleBuffer 0x002a1870
sceSifFreeIopHeap 0x002a14a8
strupr 0x002b27e8
CseBH4CheckVoiceStatusByGUID 0x0016ca08
bio4bg_p 0x002f2e18
bio4se_p 0x002f2f60
sndcalc_wait_cnt 0x002f33c4
bdBuf_p 0x002f33c8
sitfg 0x002f33cc
bdInitExec 0x002f33d0
bdInitExec2 0x002f33d4
bdInitReqExec 0x002f33d8
SndGetBgmVol__FUsUs 0x0016ca68
sitBuf 0x003f44c0
snd_random 0x002f3414
Snd_rnd 0x0016cae8
SndSeqVolCalc__FScSci 0x0016cb48
SndInit__Fv 0x0016cc18
SndAdxInit__Fv 0x00172e28
